,Student ID,Course_Area,Component,Unix_Time,Estimated_Duration,Duration
0,User_1,Authentication,Login,1610662810,0.0,0
1,User_1,Overall Site,Dashboard,1610662810,4.0,4
2,User_1,Course_B,Course_home,1610662814,9.0,21
3,User_1,Course_B,Attendance,1610662835,37.0,5890
